,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class,Anomaly
15,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.395211157,0.59704517,8,32,0,0,0,0,0,0,9,25,4,2,0.187128627,0.95325745,0.874550471,0.508377917,0.097265727,0.488479338,0.088417863,0.375807804,0.522333378,1.09501469,0.119933529,0.014384051,0,0
16,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.395211157,0.588222721,8,32,0,0,0,0,0,0,9,26,4,1,0.16742807,1.695165127,0.874550471,0.495328089,0.088223392,0.469383061,0.074787132,0.375807804,0.507123255,1.22514957,0.108738586,0.01182408,0,0
17,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.395211157,0.581945344,8,32,0,0,0,0,0,0,9,26,4,1,0.16742807,1.710800999,0.874550471,0.495253337,0.088141166,0.469383061,0.074787132,0.375807804,0.50703153,1.227813044,0.108651295,0.011805104,0,0
18,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.393980701,0.581945344,8,32,0,0,0,0,0,0,10,25,4,1,0.168053598,1.688895028,0.874550471,0.495315384,0.088085324,0.471881692,0.078453247,0.375807804,0.507122868,1.216747764,0.108794641,0.011836274,0,0
19,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.393980701,0.581945344,8,32,0,0,0,0,0,0,10,25,4,1,0.169142398,1.637618154,0.874550471,0.493059658,0.089648094,0.459904703,0.067940894,0.375807804,0.505130407,1.23010921,0.109767489,0.012048902,0,0
20,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.568069215,8,32,0,0,0,0,0,0,11,24,4,1,0.155853056,1.995215877,0.874550471,0.485795655,0.087692694,0.44861403,0.059165867,0.3602348,0.498052161,1.357207986,0.109811368,0.012058537,0,0
21,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.39105143,0.556204774,8,32,0,0,0,0,0,0,12,23,4,1,0.132141247,2.21589736,0.874550471,0.480073836,0.087001714,0.44494586,0.057312629,0.3602348,0.49258583,1.447588066,0.110317324,0.012169912,0,0
22,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.39105143,0.556204774,8,32,0,0,0,0,0,0,11,24,4,1,0.143448122,2.134600529,0.874550471,0.481039843,0.087809441,0.44494586,0.057917055,0.3602348,0.493563632,1.419711368,0.110479538,0.012205728,0,0
23,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.39105143,0.581945344,8,32,0,0,0,0,0,0,11,24,4,1,0.158860116,1.809088063,0.874550471,0.48587809,0.089516806,0.44861403,0.061715351,0.3602348,0.498404069,1.29715296,0.111036472,0.012329098,0,0
24,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.597051191,8,32,0,0,0,0,0,0,10,23,6,1,0.183984649,0.84253579,0.874550471,0.496784922,0.096749885,0.459904703,0.07045654,0.3602348,0.510310565,1.064036597,0.116711673,0.013621615,0,0
25,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.39105143,0.58540134,8,32,0,0,0,0,0,0,11,23,5,1,0.165295259,1.165465608,0.874550471,0.490231073,0.094593915,0.44861403,0.061715351,0.3602348,0.503797965,1.196137766,0.11612874,0.013485884,0,0
26,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.387844896,0.552949954,8,32,0,0,0,0,0,0,12,23,4,1,0.135005757,1.810394647,0.874550471,0.482085974,0.090192744,0.44494586,0.060321859,0.3602348,0.495373028,1.395221045,0.113962935,0.01298755,0,0
27,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.387421566,0.527118583,8,32,0,0,0,0,0,0,13,24,2,1,0.12704121,3.674164659,0.874550471,0.470088427,0.080938637,0.43645684,0.052793454,0.3602348,0.481605317,1.720437663,0.104692652,0.010960551,0,0
28,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.387421566,0.518409735,8,32,0,0,0,0,0,0,14,24,2,0,0.124815737,0.641657185,0.70628374,0.455665769,0.067251424,0.427006313,0.045330373,0.3602348,0.462657751,1.049226439,0.080130526,0.006420901,0,0
29,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.387421566,0.518409735,8,32,0,0,0,0,0,0,13,25,2,0,0.125245311,0.545902589,0.70628374,0.458348977,0.067338774,0.43645684,0.052793454,0.3602348,0.465256986,0.974090556,0.079876645,0.006380278,0,0
30,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.518409735,8,32,0,0,0,0,0,0,11,27,2,0,0.121947401,0.505500867,0.70628374,0.461752798,0.066695528,0.44494586,0.057802864,0.3602348,0.468470108,0.909749479,0.079048058,0.006248596,0,0
31,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.518409735,8,32,0,0,0,0,0,0,11,27,2,0,0.119118062,0.452652695,0.70628374,0.464711355,0.066206887,0.44861403,0.058709851,0.3602348,0.47129581,0.840606335,0.078505395,0.006163097,0,0
32,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.521838277,8,32,0,0,0,0,0,0,11,27,2,0,0.119872355,0.303376988,0.70628374,0.466589636,0.067184952,0.459904703,0.060363994,0.3602348,0.473226157,0.762984316,0.078975358,0.006237107,0,0
33,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.522615628,8,32,0,0,0,0,0,0,11,27,2,0,0.121149196,0.121407565,0.70628374,0.469966604,0.06778414,0.474842166,0.070464671,0.3602348,0.476637842,0.655291449,0.079467127,0.006315024,0,0
34,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.527118583,8,32,0,0,0,0,0,0,11,27,2,0,0.12391494,-0.067073838,0.70628374,0.472703868,0.069000058,0.485084797,0.067273939,0.3602348,0.479478513,0.561211091,0.080316231,0.006450697,0,0
35,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.392876188,0.533485569,8,32,0,0,0,0,0,0,11,27,2,0,0.125623693,-0.290495875,0.70628374,0.475642927,0.070763364,0.493804604,0.073385436,0.3602348,0.482630167,0.464883665,0.081827159,0.006695684,0,0
36,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.547236721,8,32,0,0,0,0,0,0,12,26,2,0,0.133815691,-0.546496287,0.70628374,0.477118937,0.074152101,0.501218818,0.078436806,0.3602348,0.484544246,0.376525041,0.084502344,0.007140646,0,0
37,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.533485569,8,32,0,0,0,0,0,0,13,25,2,0,0.130295043,-0.490883499,0.70628374,0.473252902,0.075013867,0.493804604,0.088933157,0.3602348,0.480814223,0.474569523,0.084935319,0.007214008,0,0
38,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.386915786,0.547236721,8,32,0,0,0,0,0,0,13,25,2,0,0.135909312,-0.64081142,0.70628374,0.475130049,0.07700132,0.501218818,0.086461306,0.3602348,0.482890702,0.411593091,0.086225673,0.007434867,0,0
39,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.382611959,0.551767518,8,32,0,0,0,0,0,0,14,24,2,0,0.146868851,-0.797041963,0.70628374,0.476763261,0.07941458,0.504890067,0.082790056,0.3602348,0.484816866,0.350271374,0.088001064,0.007744187,0,0
40,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.386915786,0.555720177,8,32,0,0,0,0,0,0,13,25,2,0,0.155568403,-0.817654396,0.70628374,0.479513691,0.078671778,0.504890067,0.080401381,0.364188482,0.487367095,0.337664872,0.087139578,0.007593306,0,0
41,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.558197352,8,32,0,0,0,0,0,0,12,26,2,0,0.157861045,-0.816071791,0.70628374,0.482578423,0.077289954,0.504890067,0.078018381,0.372836674,0.490180324,0.320174028,0.085993115,0.007394816,0,0
42,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.57239473,8,32,0,0,0,0,0,0,12,25,3,0,0.16450763,-0.918462968,0.70628374,0.490620259,0.080240295,0.507472696,0.080282359,0.372836674,0.498989757,0.275771307,0.091008457,0.008282539,0,0
43,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.572629281,8,32,0,0,0,0,0,0,12,23,4,1,0.170466806,1.282177813,0.872498369,0.50057631,0.088761236,0.507472696,0.082680164,0.372836674,0.51248551,0.96833015,0.109839682,0.012064756,0,0
44,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.389333137,0.572629281,8,32,0,0,0,0,0,0,12,23,3,2,0.170466806,1.259843345,0.872498369,0.504764789,0.092617742,0.507472696,0.082680164,0.372836674,0.518405537,1.09484604,0.118138938,0.013956809,0,0
45,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.390294963,0.577365902,8,32,0,0,0,0,0,0,11,24,3,2,0.174335694,1.168171861,0.872498369,0.51025683,0.091731351,0.512611746,0.080407056,0.372836674,0.523546609,1.017160872,0.117213561,0.013739019,0,0
46,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.393636369,0.581069619,8,32,0,0,0,0,0,0,10,25,3,2,0.171139657,1.12717788,0.872498369,0.515837523,0.090557164,0.522226953,0.071484378,0.372836674,0.528699427,0.94835357,0.1159083,0.013434734,0,0
47,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.395314061,0.581069619,8,32,0,0,0,0,0,0,9,26,3,2,0.173580153,1.118775831,0.872498369,0.521598671,0.088905908,0.542765068,0.047069141,0.372836674,0.533980488,0.885103886,0.114324046,0.013069988,0,0
48,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.399052212,0.583810999,8,32,0,0,0,0,0,0,8,26,4,2,0.161134125,1.04228598,0.872498369,0.528277932,0.087147652,0.549349752,0.044459685,0.372836674,0.540280395,0.779730321,0.11324898,0.012825331,0,0
49,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.403880968,0.58970951,8,32,0,0,0,0,0,0,7,26,5,2,0.153746725,1.031496068,0.872498369,0.535150728,0.084092477,0.553157893,0.045685197,0.372836674,0.546677661,0.687408225,0.111669884,0.012470163,0,0
