Wall time,Step,Value
1672669954.4699254,0,-49.25
1672670070.0521846,1,-50.27000045776367
1672670182.2995956,2,-44.459999084472656
1672670295.3682296,3,-44.7400016784668
1672670439.616627,4,-41.11000061035156
1672670568.0388403,5,-36.119998931884766
1672670681.5008097,6,-32.959999084472656
1672670794.6553624,7,-35.2599983215332
1672670923.8772705,8,-32.72999954223633
1672671037.082663,9,-30.190000534057617
1672671150.1316917,10,-28.799999237060547
1672671264.2786345,11,-27.15999984741211
1672671378.030698,12,-27.43000030517578
1672671491.3982162,13,-27.25
1672671605.1001174,14,-27.190000534057617
1672671718.3864393,15,-27.059999465942383
1672671848.1875858,16,-26.790000915527344
1672671976.9091775,17,-27.170000076293945
1672672105.7231112,18,-27.170000076293945
1672672236.1232815,19,-27.329999923706055
1672672364.764464,20,-27.34000015258789
1672672492.608928,21,-26.059999465942383
1672672620.9056606,22,-27.450000762939453
1672672749.660134,23,-27.299999237060547
1672672878.771301,24,-26.489999771118164
1672673007.1559365,25,-27.15999984741211
1672673136.1653533,26,-26.65999984741211
1672673265.4480596,27,-27.450000762939453
1672673394.2125845,28,-27.440000534057617
1672673523.930766,29,-27.18000030517578
1672673651.7959096,30,-26.760000228881836
1672673781.4625146,31,-26.579999923706055
1672673911.2720768,32,-26.6299991607666
1672674041.1390982,33,-27.540000915527344
1672674169.2448375,34,-27.959999084472656
1672674298.3253977,35,-26.290000915527344
1672674426.9300423,36,-27.719999313354492
1672674556.48385,37,-26.540000915527344
1672674685.4877684,38,-27.260000228881836
1672674813.9667237,39,-27.229999542236328
1672674941.9882007,40,-26.719999313354492
1672675069.4243238,41,-26.600000381469727
1672675198.1151984,42,-26.68000030517578
1672675329.7850237,43,-27.31999969482422
1672675462.2798123,44,-27.170000076293945
1672675593.9128122,45,-27.25
1672675725.5459752,46,-27.020000457763672
1672675857.1900904,47,-27.43000030517578
1672675991.2899895,48,-27.860000610351562
1672676124.6219661,49,-27.170000076293945
1672676256.068379,50,-27.360000610351562
1672676391.436049,51,-27.030000686645508
1672676506.747637,52,-27.079999923706055
1672676623.4002907,53,-26.809999465942383
1672676739.1380632,54,-27.040000915527344
1672676853.5419664,55,-26.979999542236328
1672676967.1247463,56,-27.079999923706055
1672677079.7785194,57,-27.260000228881836
1672677192.8942163,58,-26.3700008392334
1672677307.0017986,59,-26.420000076293945
1672677419.6407084,60,-27.899999618530273
1672677533.2305639,61,-26.260000228881836
1672677646.7088604,62,-26.709999084472656
1672677775.1571789,63,-26.6299991607666
1672677887.883726,64,-27.389999389648438
1672678000.6259162,65,-27.350000381469727
1672678114.116632,66,-26.75
1672678227.2127237,67,-26.989999771118164
1672678355.9437923,68,-26.510000228881836
1672678469.365969,69,-27.3799991607666
1672678582.5409868,70,-26.479999542236328
1672678694.7076213,71,-27.389999389648438
1672678807.2854538,72,-27.049999237060547
1672678920.8507404,73,-26.860000610351562
1672679065.5977738,74,-27.209999084472656
1672679177.6221724,75,-28.0
1672679290.0862284,76,-27.06999969482422
1672679432.7951534,77,-26.8799991607666
1672679545.764519,78,-26.790000915527344
1672679690.4921868,79,-27.3700008392334
1672679803.1383295,80,-26.68000030517578
1672679916.7653346,81,-26.540000915527344
1672680045.655363,82,-26.59000015258789
1672680174.4471564,83,-27.06999969482422
1672680288.3723495,84,-27.329999923706055
1672680604.3786306,85,-26.56999969482422
1672680733.0483701,86,-27.65999984741211
1672680862.0477905,87,-27.06999969482422
1672681115.652857,88,-26.579999923706055
1672681228.3434372,89,-27.110000610351562
1672681357.283213,90,-26.520000457763672
1672681485.0027714,91,-27.100000381469727
1672681629.4688873,92,-27.649999618530273
1672681757.7195451,93,-27.540000915527344
1672681885.8943555,94,-26.34000015258789
1672681998.3679976,95,-26.850000381469727
1672682126.4108112,96,-26.610000610351562
1672682255.472939,97,-27.239999771118164
1672682384.0307293,98,-27.420000076293945
1672682591.1653903,99,-26.760000228881836
