Wall time,Step,Value
1672661583.4819953,0,-49.27000045776367
1672661658.419176,1,-50.29999923706055
1672661732.993185,2,-45.119998931884766
1672661818.0218632,3,-41.380001068115234
1672661933.624097,4,-41.31999969482422
1672662060.8426518,5,-41.81999969482422
1672662145.3335674,6,-42.81999969482422
1672662221.0556252,7,-37.77000045776367
1672662306.7881098,8,-35.349998474121094
1672662391.340277,9,-30.389999389648438
1672662475.7874587,10,-27.719999313354492
1672662550.967202,11,-27.030000686645508
1672662625.0765712,12,-26.209999084472656
1672662699.687048,13,-26.860000610351562
1672662774.47111,14,-26.399999618530273
1672662848.6240044,15,-26.75
1672662922.8142645,16,-26.040000915527344
1672662997.3648922,17,-26.899999618530273
1672663072.5247304,18,-27.06999969482422
1672663146.7408864,19,-27.670000076293945
1672663231.2654438,20,-26.709999084472656
1672663314.3775413,21,-26.31999969482422
1672663398.4328246,22,-26.770000457763672
1672663480.8787434,23,-26.239999771118164
1672663563.5792549,24,-27.030000686645508
1672663646.2342992,25,-26.440000534057617
1672663728.320824,26,-27.06999969482422
1672663810.1162388,27,-27.1299991607666
1672663891.8518982,28,-27.260000228881836
1672663972.8133135,29,-26.899999618530273
1672664055.5110843,30,-27.440000534057617
1672664137.3631432,31,-26.8799991607666
1672664219.6420035,32,-26.600000381469727
1672664302.165593,33,-26.549999237060547
1672664384.1537848,34,-26.84000015258789
1672664466.7610695,35,-26.559999465942383
1672664550.4090152,36,-26.709999084472656
1672664633.9585984,37,-27.389999389648438
1672664716.640705,38,-26.040000915527344
1672664799.086015,39,-27.290000915527344
1672664882.2099433,40,-27.049999237060547
1672664965.2932625,41,-27.059999465942383
1672665049.6712158,42,-26.079999923706055
1672665130.1437824,43,-27.049999237060547
1672665213.4301622,44,-26.739999771118164
1672665293.4087062,45,-27.739999771118164
1672665374.4236345,46,-26.219999313354492
1672665453.8556437,47,-27.3799991607666
1672665532.5831184,48,-27.579999923706055
1672665602.4731314,49,-27.190000534057617
1672665672.5947669,50,-26.5
1672665742.8079987,51,-26.969999313354492
1672665811.0508409,52,-26.299999237060547
1672665881.6651304,53,-27.889999389648438
1672665951.1056516,54,-26.979999542236328
1672666020.4220734,55,-26.290000915527344
1672666090.108872,56,-27.65999984741211
1672666161.2366037,57,-26.639999389648438
1672666230.38682,58,-26.440000534057617
1672666299.8272643,59,-25.93000030517578
1672666368.8375032,60,-27.030000686645508
1672666438.186656,61,-27.3799991607666
1672666508.287146,62,-27.219999313354492
1672666579.4011252,63,-27.1299991607666
1672666647.1836545,64,-27.34000015258789
1672666715.8478732,65,-26.579999923706055
1672666785.89276,66,-26.75
1672666855.7538383,67,-26.790000915527344
1672666925.6277645,68,-26.309999465942383
1672666999.293636,69,-27.299999237060547
1672667071.699883,70,-26.200000762939453
1672667144.2332118,71,-26.31999969482422
1672667217.1091087,72,-26.399999618530273
1672667289.9788048,73,-26.690000534057617
1672667361.3288305,74,-26.510000228881836
1672667433.907956,75,-26.760000228881836
1672667507.8237298,76,-26.889999389648438
1672667581.665615,77,-26.540000915527344
1672667654.8974028,78,-26.350000381469727
1672667727.7779958,79,-26.700000762939453
1672667800.0785515,80,-26.799999237060547
1672667872.754594,81,-26.950000762939453
1672667946.6493146,82,-28.0
1672668021.926035,83,-26.350000381469727
1672668093.984684,84,-27.110000610351562
1672668165.7487853,85,-26.59000015258789
1672668240.4899178,86,-26.479999542236328
1672668313.2597249,87,-26.459999084472656
1672668386.4727004,88,-26.8799991607666
1672668461.3820984,89,-27.06999969482422
1672668535.0610602,90,-26.84000015258789
1672668610.9080923,91,-26.969999313354492
1672668687.8563297,92,-27.229999542236328
1672668761.860466,93,-27.079999923706055
1672668836.4943545,94,-27.020000457763672
1672668911.772742,95,-26.989999771118164
1672668987.1572108,96,-26.6299991607666
1672669062.1978102,97,-26.43000030517578
1672669136.884358,98,-26.690000534057617
1672669211.3407567,99,-26.530000686645508
